id	extent	pages	description	type	rights	identifier	format	date	coverage	publisher	language	contributor	title	creator
268252521	2 Bde	2	Bibliogr			0-387-90642-8 (part 1 ; New York)␟3-540-90642-8 (part 1 ; Berlin)␟0-387-90667-3 (part 2 ; New York)␟3-540-90667-3 (part 2 ; Berlin)	Language material	1982			eng		The quantum theory of Planck, Einstein, Bohr and Sommerfeld - its foundation and the rise of its difficulties, 1900-1925	
29712353X	156 S	156					Language material	1955		Paris : Gauthier-Villars	fre	Tonnelat, Marie-Antoinette	La théorie du champ unifié d'Einstein et quelques-uns de ses développements -	
193677911	1 Bd	1					Language material	2000		Zürich : [s.n.]	ger		"Mileva - ""mein Lüderchen, mein Frätzchen"" : in einem Punkt war der Physiker Albert Einstein kein Genie : in seiner Ehe mit der Serbin Mileva Maric"	Strech, Marlies
131397435	21 Bl	21					Language material	1990		Bern [etc.] : SLB [etc.]	ger		"Verzeichnis der im ""Einstein-Archiv in Bern (Stiftung Dr. Max Flückiger)"" vorhandenen Dokumente - Stand Juni 1990"	
278999107	98 S	98					Language material	1963			eng		Concepts and principles in the space-time theory within Einstein's special theory of relativity -	Törnebohm, Håkan
15061098X	23 p	23					Language material	1980		Huntsville, Alabama : Golden Rule Printing	eng		The reflection of Buddhism in Arthur Schopenhauer, Albert Einstein and Leo Tolstoy, (and its perspectives in its confrontation with Christianity and Marxism) -	Spakovsky, Anatol von
274090732	40 S	40	Diss. Universität Hamburg	Hochschulschrift			Language material	1961		München : Mikrokopie GmbH	ger		Beiträge zur Theorie der Kurvenkongruenzen in Einsteinschen Gravitationsfeldern -	Trümper, Manfred
295603089	125 p	125	Bibliogr.: p. 119-120			2-08-035153-2	Language material	1993		Paris : Flammarion	fre	Farouki, Nayla	La relativité - un exposé pour comprendre, un essai pour réfléchir	
299079090	2 Bde	2					Language material	1953		Orgonone, Maine : Orgone Institute Press	eng		Biographical material - history of the discovery of the life energy	Reich, Wilhelm (1897-1957)
164303472							Language material	2006			ger		Wie ich die Welt sehe - Albert Einstein revolutionierte mit seiner Relativitätstheorie das Verständnis von Zeit und Raum	
142137650	IV, 80 S	80					Language material	1997		Berlin : Max-Planck-Institut für Wissenschaftsgeschichte	eng	Castagnetti, Giuseppe	Foundations in disarray: essays on Einstein's science and politics in the Berlin years -	
278842461	159 p	159	Bibliogr			2-7298-1954-1	Language material	2004		Paris : Ellipses	fre		Comment le jeune et ambitieux Einstein s'est approprié la relativité restreinte de Poincaré -	Hladik, Jean
360503276	xix, 224 pages	224	Includes bibliographical references (pages 189-216) and index			978-0-8061-4686-7	Language material	2015	USA		eng	Einstein, Katherine Levine (1950-) [Verfasser]	Do facts matter? - information and misinformation in American politics	Hochschild, Jennifer L. (1950-) [Verfasser]
142467375	II, 219, V Bl	219	Am Kopf der Titelseite: Università degli Studi di Lecce, Facoltà di Lettere e Filosofia, Corso di Laurea in Filosofia␟Diss., Univ. Lecce				Language material	1996		Lecce	ita	Mastrobisi, Giorgio Iules	"La genealogia del ""Principio di relatività"" nella formazione del giovane Einstein -"	
375527729	131 Seiten	131	Literaturverzeichnis			978-3-033-05820-0	Language material	2016	Mettmenstetten		ger		"""Wie bitte, Herr Einstein, war das jetzt ganz genau im Paradies?"" -"	Isoz, Hanspeter [Verfasser]
281422745	254 S	254	Register␟Literaturverz	Einführung		978-3-492-04682-4␟3-492-04682-7␟9879492046824	Language material	2005			ger		Einstein trifft Picasso und geht mit ihm ins Kino, oder, Die Erfindung der Moderne -	Fischer, Ernst Peter (1947-)
135866618	1 Compact Disc +	1	Erstaufn. in dt. Sprache␟Textbeil. enthält u.a. dt. Libretti␟Interpr. u.a.: Pailer, Wolfgang (Noah) ; Lienert, Béatrice (Frau Noah) ; Albert-Einstein-Gymnasium (Reutlingen)|. Chor ; Albert-Einstein-Gymnasium (Reutlingen)|. Orchester ; Goubeau, Irmingard (Dir.) ; Pailer, Wolfgang (Lehrer) ; Stumpe, Ursula (Mutter) ; Alexander-von-Humboldt-Gymnasium (Konstanz)|. Chor ; Alexander-von-Humboldt-Gymnasium (Konstanz)|. Orchester ; Bauer, Peter (Dir.)				Musical sound recording	1990		Münster : Fono-Schallplattengesellschaft	ger	Weill, Kurt (1900-1950)␟Pailer, Wolfgang␟Lienert, Béatrice␟Goubeau, Irmingard␟Stumpe, Ursula␟Bauer, Peter␟Albert-Einstein-Gymnasium,␟Alexander-von-Humboldt-Gymnasium,␟Albert-Einstein-Gymnasium,	Noahs Flut - [geistliche Oper] = Noye's fludde : [the Chester miracle play] : op. 59	Britten, Benjamin (1913-1976)
273659170	230 S	230	[Enthält] S. 163-182: Albert Einstein, von Thomas von Randow␟1900097026␟dea␟ps␟NB048-2000␟nt				Language material	1971		Hamburg : Holsten	ger	Venohr, Wolfgang (1925-2005)␟Randow, Thomas von	Ungeliebte Deutsche -	
275143406	216 S	216	([Enthält] S. 44-63: Albert Einstein)␟1900244892␟dea␟ps␟NB044-2000␟nt				Language material	1968		Tübingen : Wunderlich/Leins	ger	Denker, Rolf␟Heimendahl, Eckart	Wegbereiter unserer Zukunft - Neun Portraits	Heimendahl, Eckart
163168512	360 S	360		Einführung		3-540-33199-9␟978-3-540-33199-5␟978-3-540-33200-8 (ebook)	Language material	2006		New York : Springer	eng	Vishveshwara, C. V. (1938-)	Einstein's enigma or black holes in my bubble bath -	
160866243	310 S +	310	"DVD contains the ""Biography"" from A&E Television Networks with unique insights into Albert Einstein's life␟Includes bibliographical references and index"	DVDs␟Biographie		1-59609-144-4	Language material	2005		New York, NY : Chamberlain Bros	eng	Gribbin, Mary (1947-)	Annus mirabilis - 1905, Albert Einstein, and the theory of relativity	Gribbin, John (1946-)
28909450X			In: Tages-Anzeiger ; 5. März 2005, S. 49				Language material	2005			ger		"""Ein eidgenössischer Tintenscheisser"" -"	Baron, Ulrich
300294441	345 S	345	Bibliogr. p. 329-331			2-02-010177-7 (Seuil)␟2-222-04332-8 (CNRS)	Language material	1989		[Paris] : Editions du Seuil [etc.]	fre	Biezunski, Michel␟Einstein, Albert (1879-1955)	Correspondances françaises -	
295316276	270 S	270	Bibliogr. p. 259-270			2-02-010027-4 (Seuil)␟2-222-04333-6 (CNRS)	Language material	1989		[Paris] : Editions du Seuil [etc.]	fre	Balibar, Françoise␟Einstein, Albert (1879-1955)	Quanta - mécanique statistique et physique quantique	
185404588	28 S	28	Enth. handschriftliche Widmung des Verfassers and Sigi Feigel␟Literaturverz				Language material	1992		Bern : Albert Einstein-Gesellschaft	ger	Meichle, Adolf W.	Albert Einsteins Berner Jahre, 1902-1909 -	
157606082	159 S	159					Language material	1922		Leipzig : B. G. Teubner	ger	Lorentz, Hendrik A. (1853-1928)␟Einstein, Albert (1879-1955)␟Minkowski, Hermann (1864-1909)␟Weyl, Hermann (1885-1955)␟Sommerfeld, Arnold (1868-1951)	Das Relativitätsprinzip - eine Sammlung von Abhandlungen	
191977489	CXXIII, 406 p	406					Language material	1952		New York : Dover Publications	eng	Einstein, Albert (1879-1955)␟Whittaker, Edmund␟Cohen, I. Bernard␟Roller, Duane H. D.	Opticks or a treatise of the reflections, refractions, inflections and colours of light - based on the 4. ed., London, 1730	Newton, Isaac (1643-1727)
268954658	89 S	89	1900488210␟dea␟ps␟NB052-2000␟nt				Language material	1913		Leipzig : B. G. Teubner	ger	Lorentz, Hendrik A. (1853-1928)␟Einstein, Albert (1879-1955)␟Minkowski, Hermann (1864-1909)	Das Relativitätsprinzip - Eine Sammlung von Abhandlungen	
296142492	206 p	206	Kolloquium in Paris, 1965	Kongress		3-540-05344-1 (Berlin)␟0-387-05344-1 (New York)	Language material	1971		Berlin : Springer-Verl	eng	Maheu, René␟UNESCO,	Science and synthesis - an international colloquium organized by Unesco on the tenth anniversary of the death of Albert Einstein and Teilhard de Chardin	
290298334	64 S	64					Language material	1946		New York : Schick	eng	Einstein, Albert (1879-1955)␟Stiller, Julia R.␟Unruh, Fritz von (1885-1970)␟Osborn, Max (1870-1946)	Fritz von Unruh - a monograph	Kronacher, Alvin
300798709	LXXIX, 643 S	643	Dialogo sopra i due massimi sistemi del mondo␟Nachdruck der Ausgabe von␟Leipzig : Teubner, 1891			3-519-02415-2	Language material	1982	Solar system		ger	Strauss, Emil␟Sexl, Roman Ulrich␟Einstein, Albert (1879-1955)␟Drake, Stillman (1910-)	Dialog über die beiden hauptsächlichsten Weltsysteme - das Ptolemäische und das Kopernikanische	Galilei, Galileo (1564-1642)
28916334X	217 S	217	Originalausg. ersch. Princeton, N.J. : Princeton University Press, 1998␟Einsteins's miraculous year	Quelle␟Biographie		3-499-60934-7	Language material	2001		Reinbek : Rowohlt Taschenbuch Verlag	ger	Stachel, John␟Einstein, Albert	Einsteins annus mirabilis - fünf Schriften, die die Welt der Physik revolutionierten	
270991018	XII, 430 p	430	Bibliogr␟1900092993␟dea␟ps␟NB068-2002␟nt␟1900092994␟dea␟ps␟NB068-2002␟nt				Language material	1967		Amsterdam : North-Holland Publishing Company	eng	Waerden, Bartel L. van der (1903-1996)␟Einstein, Albert (1879-1955)	Sources of quantum mechanics -	
273317210	675 S	675	Erste deutsche Originalausgabe␟Einstein on peace.; Hrsg. von Otto Nathan und Heinz Norden; Vorwort von Bertran Russell; Uebersetzung der engl. Und Franz. Originale von Willi Schaber␟Das Werk vereinigt alle Schriften, Reden und Briefe Albert Einsteins über Krieg und Frieden. Das Werk ist auch eine Art Geschichte der Friedensbewegung vom Ausbruch des ersten Weltkrieges bis zu Einsteins Tod im Jahre 1955␟1900836970␟dea␟ps␟NB022-2003␟nt	Quelle␟Aufsatzsammlung		3-261-01384-2	Language material	1975			ger	Nathan, Otto␟Norden, Heinz	Ueber den Frieden - Weltordnung oder Weltuntergang?	Einstein, Albert (1879-1955)
279313543	255 p	255	"""Titre original: 'Albert Einstein - Max Born Briefwechsel 1916-1955'"". Munich, cop. 1969␟Albert Einstein - Max Born, Briefwechsel : 1916-1955␟Trad. de␟Briefwechsel : 1916-1955 / Albert Einstein, Hedwig und Max Born␟gevmhs MHS 920 EIN␟3"	Correspondance		2-02-002813-1	Language material	1972		Paris : Editions du Seuil	fre	Born, Hedwig␟Born, Hedwig␟Born, Max (1882-1970)␟Born, Max (1882-1970)␟Einstein, Albert (1879-1955)␟Heisenberg, Werner (1901-1976)␟Leccia, Pierre␟Russell, Bertrand	Correspondance - 1916-1955	Einstein, Albert (1879-1955)
280151128	172 S	172	[Betrifft auch] Hermann Hesse, Albert Einstein, Hermann Staudinger␟1900100224␟dea␟ps␟NB044-2000␟nt	Biografie			Language material	1968	Deutschland	München : Moos	ger	Staudinger, Hermann␟Einstein, Albert (1879-1955)␟Hesse, Hermann (1877-1962)␟Ronge, Grete␟Kolbe, Jürgen␟Hermann, Armin␟Inter Nationes (Bonn),	Deutsche Nobelpreisträger - Deutsche Beiträge zur Natur- und Geisteswissenschaft, dargestellt am Beispiel der Nobelpreisverleihungen für Frieden, Literatur, Medizin, Physik und Chemie	
